$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=80000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_004_gate_acquisition_safety/level3_loop_004_gate_acquisition_safety_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_004_gate_acquisition_safety --checkpoint_interval=5000000 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_004_gate_acquisition_safety --wandb_run_id=level3_loop_004_gate_acquisition_safety --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_003_gate_acquisition_safety/level3_loop_003_gate_acquisition_safety_step_005000000.ckpt --learning_rate=0.0003 --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --ent_coef=0.02 --target_kl=0.03 --hidden_dim=256 --n_obs=2 --progress_coef=0.0 --gate_stage_coef=14.0 --gate_axis_coef=28.0 --near_gate_coef=0.0 --gate_bonus=220.0 --gate_front_bonus=10.0 --gate_plane_bonus=0.0 --gate_back_bonus=45.0 --finish_bonus=190.0 --missed_gate_penalty=0.0 --wrong_side_penalty=8.0 --crash_penalty=55.0 --obstacle_coef=5.25 --obstacle_margin=0.2 --obstacle_clearance_coef=0.0 --timeout_penalty=80.0 --time_penalty=0.015 --act_coef=0.015 --d_act_th_coef=0.075 --d_act_xy_coef=0.08 --cmd_tilt_coef=0.9 --rpy_coef=0.75 --tilt_limit_deg=38.0 --tilt_excess_coef=14.0

W0618 01:47:20.579574  410109 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0618 01:47:20.582023  410032 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_004_gate_acquisition_safety
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260618_014724-level3_loop_004_gate_acquisition_safety
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_004_gate_acquisition_safety
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_004_gate_acquisition_safety
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_003_gate_acquisition_safety/level3_loop_003_gate_acquisition_safety_step_005000000.ckpt; optimizer starts fresh
Iter 1/2441 took 15.31 seconds
Iter 2/2441 took 2.35 seconds
Iter 3/2441 took 2.31 seconds
Iter 4/2441 took 2.30 seconds
Iter 5/2441 took 2.39 seconds
Iter 6/2441 took 2.33 seconds
Iter 7/2441 took 2.34 seconds
Iter 8/2441 took 2.36 seconds
Iter 9/2441 took 2.50 seconds
Iter 10/2441 took 2.58 seconds
Iter 11/2441 took 2.55 seconds
Iter 12/2441 took 2.48 seconds
Iter 13/2441 took 2.42 seconds
Iter 14/2441 took 2.53 seconds
Iter 15/2441 took 2.37 seconds
Iter 16/2441 took 2.35 seconds
Iter 17/2441 took 2.36 seconds
Iter 18/2441 took 2.36 seconds
Iter 19/2441 took 2.39 seconds
Iter 20/2441 took 2.35 seconds
Iter 21/2441 took 2.33 seconds
Iter 22/2441 took 2.35 seconds
Iter 23/2441 took 2.40 seconds
Iter 24/2441 took 2.44 seconds
Iter 25/2441 took 2.39 seconds
Iter 26/2441 took 2.38 seconds
Iter 27/2441 took 2.34 seconds
Iter 28/2441 took 2.41 seconds
Iter 29/2441 took 2.49 seconds
Iter 30/2441 took 2.36 seconds
Iter 31/2441 took 2.40 seconds
Iter 32/2441 took 2.44 seconds
Iter 33/2441 took 2.39 seconds
Iter 34/2441 took 2.56 seconds
Iter 35/2441 took 2.34 seconds
Iter 36/2441 took 2.42 seconds
Iter 37/2441 took 2.35 seconds
Iter 38/2441 took 2.34 seconds
Iter 39/2441 took 2.37 seconds
Iter 40/2441 took 2.36 seconds
Iter 41/2441 took 2.34 seconds
Iter 42/2441 took 2.30 seconds
Iter 43/2441 took 2.46 seconds
Iter 44/2441 took 2.44 seconds
Iter 45/2441 took 2.37 seconds
Iter 46/2441 took 2.42 seconds
Iter 47/2441 took 2.35 seconds
Iter 48/2441 took 2.34 seconds
Iter 49/2441 took 2.32 seconds
Iter 50/2441 took 2.37 seconds
Iter 51/2441 took 2.34 seconds
Iter 52/2441 took 2.31 seconds
Iter 53/2441 took 2.39 seconds
Iter 54/2441 took 2.37 seconds
Iter 55/2441 took 2.47 seconds
Iter 56/2441 took 2.38 seconds
Iter 57/2441 took 2.40 seconds
Iter 58/2441 took 2.43 seconds
Iter 59/2441 took 2.40 seconds
Iter 60/2441 took 2.35 seconds
Iter 61/2441 took 2.35 seconds
Iter 62/2441 took 2.38 seconds
Iter 63/2441 took 2.38 seconds
Iter 64/2441 took 2.32 seconds
Iter 65/2441 took 2.43 seconds
Iter 66/2441 took 2.40 seconds
Iter 67/2441 took 2.39 seconds
Iter 68/2441 took 2.44 seconds
Iter 69/2441 took 2.59 seconds
Iter 70/2441 took 2.41 seconds
Iter 71/2441 took 2.48 seconds
Iter 72/2441 took 2.39 seconds
Iter 73/2441 took 2.40 seconds
Iter 74/2441 took 2.39 seconds
Iter 75/2441 took 2.32 seconds
Iter 76/2441 took 2.30 seconds
Iter 77/2441 took 2.38 seconds
Iter 78/2441 took 2.46 seconds
Iter 79/2441 took 2.40 seconds
Iter 80/2441 took 2.50 seconds
Iter 81/2441 took 2.39 seconds
Iter 82/2441 took 2.36 seconds
Iter 83/2441 took 2.32 seconds
Iter 84/2441 took 2.39 seconds
Iter 85/2441 took 2.42 seconds
Iter 86/2441 took 2.53 seconds
Iter 87/2441 took 2.44 seconds
Iter 88/2441 took 2.52 seconds
Iter 89/2441 took 2.43 seconds
Iter 90/2441 took 2.42 seconds
Iter 91/2441 took 2.42 seconds
Iter 92/2441 took 2.39 seconds
Iter 93/2441 took 2.46 seconds
Iter 94/2441 took 2.36 seconds
Iter 95/2441 took 2.41 seconds
Iter 96/2441 took 2.35 seconds
Iter 97/2441 took 2.33 seconds
Iter 98/2441 took 2.37 seconds
Iter 99/2441 took 2.41 seconds
Iter 100/2441 took 2.39 seconds
Iter 101/2441 took 2.37 seconds
Iter 102/2441 took 2.48 seconds
Iter 103/2441 took 2.39 seconds
Iter 104/2441 took 2.43 seconds
Iter 105/2441 took 2.40 seconds
Iter 106/2441 took 2.40 seconds
Iter 107/2441 took 2.37 seconds
Iter 108/2441 took 2.33 seconds
Iter 109/2441 took 2.33 seconds
Iter 110/2441 took 2.31 seconds
Iter 111/2441 took 2.45 seconds
Iter 112/2441 took 2.41 seconds
Iter 113/2441 took 2.40 seconds
Iter 114/2441 took 2.45 seconds
Iter 115/2441 took 2.30 seconds
Iter 116/2441 took 2.34 seconds
Iter 117/2441 took 2.31 seconds
Iter 118/2441 took 2.32 seconds
Iter 119/2441 took 2.32 seconds
Iter 120/2441 took 2.38 seconds
Iter 121/2441 took 2.42 seconds
Iter 122/2441 took 2.39 seconds
Iter 123/2441 took 2.36 seconds
Iter 124/2441 took 2.36 seconds
Iter 125/2441 took 2.34 seconds
Iter 126/2441 took 2.47 seconds
Iter 127/2441 took 2.35 seconds
Iter 128/2441 took 2.34 seconds
Iter 129/2441 took 2.36 seconds
Iter 130/2441 took 2.35 seconds
Iter 131/2441 took 2.41 seconds
Iter 132/2441 took 2.33 seconds
Iter 133/2441 took 2.37 seconds
Iter 134/2441 took 2.37 seconds
Iter 135/2441 took 2.39 seconds
Iter 136/2441 took 2.38 seconds
Iter 137/2441 took 2.46 seconds
Iter 138/2441 took 2.43 seconds
Iter 139/2441 took 2.34 seconds
Iter 140/2441 took 2.34 seconds
Iter 141/2441 took 2.40 seconds
Iter 142/2441 took 2.38 seconds
Iter 143/2441 took 2.37 seconds
Iter 144/2441 took 2.40 seconds
Iter 145/2441 took 2.29 seconds
Iter 146/2441 took 2.32 seconds
Iter 147/2441 took 2.34 seconds
Iter 148/2441 took 2.35 seconds
Iter 149/2441 took 2.36 seconds
Iter 150/2441 took 2.34 seconds
Iter 151/2441 took 2.32 seconds
Iter 152/2441 took 2.44 seconds
Iter 153/2441 took 2.36 seconds
checkpoint saved to /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_004_gate_acquisition_safety/level3_loop_004_gate_acquisition_safety_step_005000000.ckpt at global_step=5013504
Iter 154/2441 took 2.39 seconds
Iter 155/2441 took 2.33 seconds
Iter 156/2441 took 2.34 seconds
Iter 157/2441 took 2.45 seconds
Iter 158/2441 took 2.35 seconds
Iter 159/2441 took 2.34 seconds
Iter 160/2441 took 2.38 seconds
Iter 161/2441 took 2.36 seconds
Iter 162/2441 took 2.51 seconds
Iter 163/2441 took 2.36 seconds
Iter 164/2441 took 2.33 seconds
Iter 165/2441 took 2.41 seconds
Iter 166/2441 took 2.36 seconds
Iter 167/2441 took 2.40 seconds
Iter 168/2441 took 2.36 seconds
