$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr_stage2_no_train_wrappers.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=100000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_016_loop010_step_curve_maturation_100m/level3_loop_016_loop010_step_curve_maturation_100m_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_016_loop010_step_curve_maturation_100m --checkpoint_interval=5000000 --observation_layout=obstacle_heading_xy_v1 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_016_loop010_step_curve_maturation_100m --wandb_run_id=level3_loop_016_loop010_step_curve_maturation_100m --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_010_stage2_no_train_wrappers/level3_loop_010_stage2_no_train_wrappers_step_015000000.ckpt --learning_rate=0.0003 --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --ent_coef=0.02 --target_kl=0.03 --hidden_dim=256 --n_obs=2 --progress_coef=0.0 --gate_stage_coef=14.0 --gate_axis_coef=28.0 --near_gate_coef=0.0 --gate_bonus=220.0 --gate_front_bonus=10.0 --gate_plane_bonus=0.0 --gate_back_bonus=45.0 --finish_bonus=190.0 --missed_gate_penalty=0.0 --wrong_side_penalty=8.0 --crash_penalty=55.0 --obstacle_coef=5.25 --obstacle_margin=0.2 --obstacle_clearance_coef=0.0 --timeout_penalty=80.0 --time_penalty=0.015 --act_coef=0.015 --d_act_th_coef=0.075 --d_act_xy_coef=0.08 --cmd_tilt_coef=0.9 --rpy_coef=0.75 --tilt_limit_deg=38.0 --tilt_excess_coef=14.0

W0618 21:53:54.572769    9286 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0618 21:53:54.577590    9205 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_016_loop010_step_curve_maturation_100m
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260618_215359-level3_loop_016_loop010_step_curve_maturation_100m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_016_loop010_step_curve_maturation_100m
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_016_loop010_step_curve_maturation_100m
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_010_stage2_no_train_wrappers/level3_loop_010_stage2_no_train_wrappers_step_015000000.ckpt; optimizer starts fresh
Iter 1/3051 took 14.63 seconds
Iter 2/3051 took 1.85 seconds
Iter 3/3051 took 1.85 seconds
Iter 4/3051 took 1.82 seconds
Iter 5/3051 took 1.85 seconds
Iter 6/3051 took 1.90 seconds
Iter 7/3051 took 1.85 seconds
Iter 8/3051 took 1.88 seconds
Iter 9/3051 took 1.87 seconds
Iter 10/3051 took 1.82 seconds
Iter 11/3051 took 1.89 seconds
Iter 12/3051 took 1.85 seconds
Iter 13/3051 took 1.91 seconds
Iter 14/3051 took 1.86 seconds
Iter 15/3051 took 1.85 seconds
Iter 16/3051 took 1.88 seconds
Iter 17/3051 took 1.86 seconds
Iter 18/3051 took 1.84 seconds
Iter 19/3051 took 1.94 seconds
Iter 20/3051 took 1.89 seconds
Iter 21/3051 took 1.84 seconds
Iter 22/3051 took 1.91 seconds
Iter 23/3051 took 1.91 seconds
Iter 24/3051 took 1.90 seconds
Iter 25/3051 took 2.04 seconds
Iter 26/3051 took 1.86 seconds
Iter 27/3051 took 1.91 seconds
Iter 28/3051 took 1.90 seconds
Iter 29/3051 took 1.82 seconds
Iter 30/3051 took 1.89 seconds
Iter 31/3051 took 1.87 seconds
Iter 32/3051 took 1.92 seconds
Iter 33/3051 took 1.90 seconds
Iter 34/3051 took 1.87 seconds
Iter 35/3051 took 1.89 seconds
Iter 36/3051 took 1.87 seconds
Iter 37/3051 took 1.85 seconds
Iter 38/3051 took 1.88 seconds
Iter 39/3051 took 1.83 seconds
Iter 40/3051 took 1.82 seconds
Iter 41/3051 took 1.79 seconds
Iter 42/3051 took 1.86 seconds
Iter 43/3051 took 1.94 seconds
Iter 44/3051 took 1.87 seconds
Iter 45/3051 took 1.90 seconds
Iter 46/3051 took 1.86 seconds
Iter 47/3051 took 1.88 seconds
Iter 48/3051 took 1.95 seconds
Iter 49/3051 took 1.85 seconds
Iter 50/3051 took 1.89 seconds
Iter 51/3051 took 1.98 seconds
Iter 52/3051 took 1.85 seconds
Iter 53/3051 took 1.85 seconds
Iter 54/3051 took 1.94 seconds
Iter 55/3051 took 1.86 seconds
Iter 56/3051 took 1.88 seconds
Iter 57/3051 took 1.85 seconds
Iter 58/3051 took 1.94 seconds
Iter 59/3051 took 1.84 seconds
Iter 60/3051 took 1.83 seconds
Iter 61/3051 took 1.82 seconds
Iter 62/3051 took 1.89 seconds
Iter 63/3051 took 1.89 seconds
Iter 64/3051 took 1.91 seconds
Iter 65/3051 took 1.87 seconds
Iter 66/3051 took 1.87 seconds
Iter 67/3051 took 1.97 seconds
Iter 68/3051 took 1.92 seconds
Iter 69/3051 took 1.91 seconds
Iter 70/3051 took 1.84 seconds
Iter 71/3051 took 1.90 seconds
Iter 72/3051 took 1.94 seconds
Iter 73/3051 took 1.92 seconds
Iter 74/3051 took 1.85 seconds
Iter 75/3051 took 1.85 seconds
Iter 76/3051 took 1.92 seconds
Iter 77/3051 took 1.95 seconds
Iter 78/3051 took 1.86 seconds
Iter 79/3051 took 1.84 seconds
Iter 80/3051 took 1.90 seconds
Iter 81/3051 took 1.91 seconds
Iter 82/3051 took 1.96 seconds
Iter 83/3051 took 1.90 seconds
Iter 84/3051 took 1.94 seconds
Iter 85/3051 took 1.79 seconds
Iter 86/3051 took 1.90 seconds
Iter 87/3051 took 1.85 seconds
Iter 88/3051 took 1.87 seconds
Iter 89/3051 took 1.90 seconds
Iter 90/3051 took 1.93 seconds
Iter 91/3051 took 1.93 seconds
Iter 92/3051 took 1.91 seconds
Iter 93/3051 took 1.83 seconds
Iter 94/3051 took 1.87 seconds
Iter 95/3051 took 1.90 seconds
Iter 96/3051 took 1.87 seconds
Iter 97/3051 took 1.82 seconds
Iter 98/3051 took 1.89 seconds
Iter 99/3051 took 1.90 seconds
Iter 100/3051 took 1.96 seconds
Iter 101/3051 took 1.90 seconds
Iter 102/3051 took 1.90 seconds
Iter 103/3051 took 1.87 seconds
Iter 104/3051 took 1.87 seconds
Iter 105/3051 took 1.87 seconds
Iter 106/3051 took 1.94 seconds
Iter 107/3051 took 1.90 seconds
Iter 108/3051 took 1.92 seconds
Iter 109/3051 took 1.88 seconds
Iter 110/3051 took 1.85 seconds
Iter 111/3051 took 1.86 seconds
Iter 112/3051 took 1.97 seconds
Iter 113/3051 took 1.91 seconds
Iter 114/3051 took 1.92 seconds
Iter 115/3051 took 1.84 seconds
Iter 116/3051 took 1.83 seconds
Iter 117/3051 took 1.92 seconds
Iter 118/3051 took 1.89 seconds
Iter 119/3051 took 1.89 seconds
Iter 120/3051 took 1.89 seconds
Iter 121/3051 took 1.84 seconds
Iter 122/3051 took 1.89 seconds
Iter 123/3051 took 1.90 seconds
Iter 124/3051 took 1.88 seconds
Iter 125/3051 took 1.83 seconds
Iter 126/3051 took 1.85 seconds
Iter 127/3051 took 1.88 seconds
Iter 128/3051 took 1.90 seconds
