$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=90000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_018_v5_gate_acquisition_repair_mature_90m/level3_loop_018_v5_gate_acquisition_repair_mature_90m_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_018_v5_gate_acquisition_repair_mature_90m --checkpoint_interval=5000000 --observation_layout=level3_target_gate_nearest_gate_2obs_local_history_v5 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_018_v5_gate_acquisition_repair_mature_90m --wandb_run_id=level3_loop_018_v5_gate_acquisition_repair_mature_90m --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_017_v5_gate_acquisition_repair_mature_60m/level3_loop_017_v5_gate_acquisition_repair_mature_60m_final.ckpt --learning_rate=0.0003 --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --ent_coef=0.02 --target_kl=0.03 --hidden_dim=256 --n_obs=2 --progress_coef=0.0 --gate_stage_coef=13.0 --gate_axis_coef=24.0 --near_gate_coef=0.0 --gate_bonus=200.0 --gate_front_bonus=5.0 --gate_plane_bonus=0.0 --gate_back_bonus=35.0 --finish_bonus=175.0 --missed_gate_penalty=0.0 --wrong_side_penalty=6.0 --crash_penalty=62.5 --obstacle_coef=5.75 --obstacle_margin=0.3 --obstacle_clearance_coef=0.0 --timeout_penalty=80.0 --time_penalty=0.02 --act_coef=0.0345 --d_act_th_coef=0.112 --d_act_xy_coef=0.112 --cmd_tilt_coef=1.12 --rpy_coef=1.1 --tilt_limit_deg=38.0 --tilt_excess_coef=15.0

W0619 22:22:52.630315 3713958 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0619 22:22:52.632573 3713881 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_018_v5_gate_acquisition_repair_mature_90m
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260619_222256-level3_loop_018_v5_gate_acquisition_repair_mature_90m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_018_v5_gate_acquisition_repair_mature_90m
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_018_v5_gate_acquisition_repair_mature_90m
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_017_v5_gate_acquisition_repair_mature_60m/level3_loop_017_v5_gate_acquisition_repair_mature_60m_final.ckpt; optimizer starts fresh
Iter 1/2746 took 15.08 seconds
Iter 2/2746 took 2.73 seconds
Iter 3/2746 took 2.78 seconds
Iter 4/2746 took 2.81 seconds
Iter 5/2746 took 2.87 seconds
Iter 6/2746 took 2.81 seconds
Iter 7/2746 took 2.63 seconds
Iter 8/2746 took 2.70 seconds
Iter 9/2746 took 2.74 seconds
Iter 10/2746 took 2.74 seconds
Iter 11/2746 took 2.73 seconds
Iter 12/2746 took 2.76 seconds
Iter 13/2746 took 2.75 seconds
Iter 14/2746 took 2.84 seconds
Iter 15/2746 took 2.86 seconds
Iter 16/2746 took 2.93 seconds
Iter 17/2746 took 2.73 seconds
Iter 18/2746 took 2.64 seconds
Iter 19/2746 took 2.67 seconds
Iter 20/2746 took 2.60 seconds
Iter 21/2746 took 2.60 seconds
Iter 22/2746 took 2.69 seconds
Iter 23/2746 took 2.65 seconds
Iter 24/2746 took 2.60 seconds
Iter 25/2746 took 2.64 seconds
Iter 26/2746 took 2.66 seconds
Iter 27/2746 took 2.64 seconds
Iter 28/2746 took 2.68 seconds
Iter 29/2746 took 2.68 seconds
Iter 30/2746 took 2.64 seconds
Iter 31/2746 took 2.61 seconds
Iter 32/2746 took 2.63 seconds
Iter 33/2746 took 2.67 seconds
Iter 34/2746 took 2.62 seconds
Iter 35/2746 took 2.62 seconds
Iter 36/2746 took 2.59 seconds
Iter 37/2746 took 2.61 seconds
Iter 38/2746 took 2.76 seconds
Iter 39/2746 took 2.81 seconds
