$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=30000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m --checkpoint_interval=5000000 --observation_layout=level3_target_gate_nearest_gate_2obs_local_history_v5 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_024_v5_action_envelope_75deg_from_loop020_25m --wandb_run_id=level3_loop_024_v5_action_envelope_75deg_from_loop020_25m --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_020_v5_completion_backloaded_from_loop019_15m/level3_loop_020_v5_completion_backloaded_from_loop019_15m_step_025000000.ckpt --learning_rate=0.0003 --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --ent_coef=0.02 --target_kl=0.03 --hidden_dim=256 --n_obs=2 --action_rp_limit_deg=75.0 --progress_coef=0.0 --gate_stage_coef=9.0 --gate_axis_coef=22.0 --near_gate_coef=0.0 --gate_bonus=180.0 --gate_front_bonus=22.0 --gate_plane_bonus=0.0 --gate_back_bonus=95.0 --finish_bonus=300.0 --missed_gate_penalty=0.0 --wrong_side_penalty=14.0 --crash_penalty=50.0 --obstacle_coef=4.5 --obstacle_margin=0.3 --obstacle_clearance_coef=0.0 --timeout_penalty=80.0 --time_penalty=0.005 --act_coef=0.012 --d_act_th_coef=0.055 --d_act_xy_coef=0.055 --cmd_tilt_coef=0.75 --rpy_coef=0.65 --tilt_limit_deg=42.0 --tilt_excess_coef=10.0

W0620 04:42:18.609235 1665675 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0620 04:42:18.611504 1665582 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_024_v5_action_envelope_75deg_from_loop020_25m
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260620_044222-level3_loop_024_v5_action_envelope_75deg_from_loop020_25m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_024_v5_action_envelope_75deg_from_loop020_25m
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_024_v5_action_envelope_75deg_from_loop020_25m
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized checkpoint action_rp_limit_deg=90.0; training with action_rp_limit_deg=75.0
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_020_v5_completion_backloaded_from_loop019_15m/level3_loop_020_v5_completion_backloaded_from_loop019_15m_step_025000000.ckpt; optimizer starts fresh
Iter 1/915 took 15.24 seconds
Iter 2/915 took 2.94 seconds
Iter 3/915 took 2.87 seconds
Iter 4/915 took 2.94 seconds
Iter 5/915 took 2.89 seconds
Iter 6/915 took 2.99 seconds
Iter 7/915 took 2.94 seconds
Iter 8/915 took 2.94 seconds
Iter 9/915 took 2.82 seconds
Iter 10/915 took 2.74 seconds
Iter 11/915 took 2.65 seconds
Iter 12/915 took 2.61 seconds
Iter 13/915 took 2.66 seconds
Iter 14/915 took 2.66 seconds
Iter 15/915 took 2.67 seconds
Iter 16/915 took 2.72 seconds
Iter 17/915 took 2.71 seconds
Iter 18/915 took 2.65 seconds
Iter 19/915 took 2.79 seconds
Iter 20/915 took 2.72 seconds
Iter 21/915 took 2.77 seconds
Iter 22/915 took 2.84 seconds
Iter 23/915 took 2.92 seconds
Iter 24/915 took 2.89 seconds
Iter 25/915 took 2.75 seconds
Iter 26/915 took 2.68 seconds
Iter 27/915 took 2.62 seconds
Iter 28/915 took 2.57 seconds
Iter 29/915 took 2.61 seconds
Iter 30/915 took 2.67 seconds
Iter 31/915 took 2.59 seconds
Iter 32/915 took 2.65 seconds
Iter 33/915 took 2.70 seconds
Iter 34/915 took 2.62 seconds
Iter 35/915 took 2.57 seconds
Iter 36/915 took 2.66 seconds
Iter 37/915 took 2.68 seconds
Iter 38/915 took 2.60 seconds
Iter 39/915 took 2.58 seconds
Iter 40/915 took 2.68 seconds
Iter 41/915 took 2.66 seconds
