$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=35000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m --checkpoint_interval=5000000 --observation_layout=level3_target_gate_nearest_gate_2obs_local_history_v5 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m --wandb_run_id=level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_069_structural_v16_first_gate_hard_corridor_sampler_from_loop052_30m/level3_loop_069_structural_v16_first_gate_hard_corridor_sampler_from_loop052_30m_step_025000000.ckpt --learning_rate=5e-05 --anneal_lr=False --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --clip_coef=0.26 --clip_vloss=True --ent_coef=0.02 --vf_coef=0.7 --max_grad_norm=1.5 --target_kl=0.03 --hidden_dim=256 --policy_arch=mlp_2x_tanh --recurrent_hidden_dim=256 --recurrent_sequence_len=32 --n_obs=2 --action_rp_limit_deg=90.0 --action_lowpass_alpha=1.0 --reward_structure=legacy_staged --track_generator_profile=first_gate_hard_corridor --progress_coef=0.0 --gate_stage_coef=10.0 --gate_axis_coef=12.0 --near_gate_coef=0.0 --gate_bonus=90.0 --gate_front_bonus=0.0 --gate_plane_bonus=0.0 --gate_back_bonus=12.0 --finish_bonus=160.0 --missed_gate_penalty=0.0 --gate_frame_pressure_coef=0.0 --wrong_side_penalty=8.0 --crash_penalty=100.0 --obstacle_coef=8.0 --obstacle_margin=0.4 --obstacle_clearance_coef=6.0 --timeout_penalty=80.0 --time_penalty=0.03 --act_coef=0.03 --d_act_th_coef=0.1 --d_act_xy_coef=0.1 --cmd_tilt_coef=1.0 --rpy_coef=1.0 --tilt_limit_deg=40.0 --tilt_excess_coef=15.0

W0621 20:51:03.968051 1540438 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0621 20:51:03.970383 1540361 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260621_205107-level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_070_structural_v16_hard_corridor_mature_loop069_25m_to_60m
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_069_structural_v16_first_gate_hard_corridor_sampler_from_loop052_30m/level3_loop_069_structural_v16_first_gate_hard_corridor_sampler_from_loop052_30m_step_025000000.ckpt; optimizer starts fresh
Iter 1/1068 took 15.31 seconds
Iter 2/1068 took 2.91 seconds
Iter 3/1068 took 2.95 seconds
Iter 4/1068 took 2.68 seconds
Iter 5/1068 took 2.80 seconds
Iter 6/1068 took 2.70 seconds
Iter 7/1068 took 2.69 seconds
Iter 8/1068 took 2.71 seconds
Iter 9/1068 took 2.70 seconds
Iter 10/1068 took 2.68 seconds
Iter 11/1068 took 2.75 seconds
Iter 12/1068 took 2.69 seconds
Iter 13/1068 took 2.70 seconds
Iter 14/1068 took 2.68 seconds
Iter 15/1068 took 2.84 seconds
Iter 16/1068 took 2.74 seconds
Iter 17/1068 took 2.77 seconds
Iter 18/1068 took 2.83 seconds
Iter 19/1068 took 2.76 seconds
Iter 20/1068 took 2.77 seconds
Iter 21/1068 took 2.83 seconds
Iter 22/1068 took 2.79 seconds
Iter 23/1068 took 2.81 seconds
Iter 24/1068 took 2.68 seconds
Iter 25/1068 took 2.70 seconds
Iter 26/1068 took 2.73 seconds
Iter 27/1068 took 2.75 seconds
Iter 28/1068 took 2.81 seconds
Iter 29/1068 took 2.77 seconds
Iter 30/1068 took 2.80 seconds
Iter 31/1068 took 2.80 seconds
Iter 32/1068 took 2.78 seconds
Iter 33/1068 took 2.76 seconds
Iter 34/1068 took 2.75 seconds
Iter 35/1068 took 2.80 seconds
Iter 36/1068 took 2.69 seconds
Iter 37/1068 took 2.71 seconds
Iter 38/1068 took 2.70 seconds
Iter 39/1068 took 2.65 seconds
Iter 40/1068 took 2.69 seconds
Iter 41/1068 took 2.78 seconds
Iter 42/1068 took 2.74 seconds
Iter 43/1068 took 2.69 seconds
Iter 44/1068 took 2.67 seconds
Iter 45/1068 took 2.68 seconds
Iter 46/1068 took 2.65 seconds
Iter 47/1068 took 2.64 seconds
Iter 48/1068 took 2.61 seconds
Iter 49/1068 took 2.61 seconds
Iter 50/1068 took 2.65 seconds
Iter 51/1068 took 2.68 seconds
Iter 52/1068 took 2.72 seconds
Iter 53/1068 took 2.76 seconds
Iter 54/1068 took 2.73 seconds
Iter 55/1068 took 2.68 seconds
Iter 56/1068 took 2.73 seconds
Iter 57/1068 took 2.75 seconds
Iter 58/1068 took 2.83 seconds
Iter 59/1068 took 2.81 seconds
Iter 60/1068 took 2.84 seconds
