$ /home/aojili/lsy_drone_racing/.pixi/envs/gpu/bin/python /home/aojili/lsy_drone_racing/lsy_drone_racing/control/train_CleanRL_ppo_level3.py --config=level3_dr.toml --wandb_enabled=True --wandb_project_name=ADR-PPO-Racing-Level3 --wandb_mode=online --train=True --eval=0 --total_timesteps=45000000 --num_envs=1024 --num_steps=32 --cuda=True --jax_device=gpu --model_name=checkpoints/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m_final.ckpt --checkpoint_dir=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m --checkpoint_interval=5000000 --observation_layout=level3_gate_corridor_obstacle_relative_2obs_local_history_v8 --wandb_entity=aojili77-technical-university-of-munich --wandb_run_name=level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m --wandb_run_id=level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m --initial_model_name=/home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_083_structural_v26_v23_10m_success_replay_retention_20m/level3_loop_083_structural_v26_v23_10m_success_replay_retention_20m_step_015000000.ckpt --learning_rate=2e-05 --anneal_lr=False --gamma=0.99 --gae_lambda=0.95 --update_epochs=5 --num_minibatches=8 --clip_coef=0.26 --clip_vloss=True --ent_coef=0.02 --vf_coef=0.7 --max_grad_norm=1.5 --target_kl=0.03 --hidden_dim=256 --policy_arch=mlp_2x_tanh --recurrent_hidden_dim=256 --recurrent_sequence_len=32 --n_obs=2 --action_rp_limit_deg=90.0 --action_lowpass_alpha=1.0 --reward_structure=decoupled_frame_clearance --track_generator_profile=loop078_v23_success_replay_lowprob --progress_coef=0.0 --gate_stage_coef=10.0 --gate_axis_coef=12.0 --near_gate_coef=0.0 --gate_bonus=90.0 --gate_front_bonus=0.0 --gate_plane_bonus=0.0 --gate_back_bonus=12.0 --finish_bonus=160.0 --missed_gate_penalty=0.0 --gate_frame_pressure_coef=1.0 --wrong_side_penalty=8.0 --crash_penalty=100.0 --obstacle_coef=10.0 --obstacle_margin=0.45 --obstacle_clearance_coef=6.0 --timeout_penalty=80.0 --time_penalty=0.015 --act_coef=0.03 --d_act_th_coef=0.1 --d_act_xy_coef=0.1 --cmd_tilt_coef=1.0 --rpy_coef=1.0 --tilt_limit_deg=40.0 --tilt_excess_coef=15.0

W0622 08:56:44.437092 4004360 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
W0622 08:56:44.439500 4004283 cuda_executor.cc:1802] GPU interconnect information not available: INTERNAL: NVML doesn't support extracting fabric info or NVLink is not used by the device.
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/aojili/.netrc.
wandb: Currently logged in as: aojili77 (aojili77-technical-university-of-munich) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/aojili/lsy_drone_racing/wandb/run-20260622_085648-level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m
wandb: ⭐️ View project at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3
wandb: 🚀 View run at https://wandb.ai/aojili77-technical-university-of-munich/ADR-PPO-Racing-Level3/runs/level3_loop_084_structural_v26_v23_10m_success_replay_retention_mature_to_60m
/home/aojili/lsy_drone_racing/.pixi/envs/gpu/lib/python3.13/site-packages/jax/_src/abstract_arrays.py:135: RuntimeWarning: overflow encountered in cast
  return literals.TypedNdArray(np.asarray(x, dtype), weak_type=False)
Training on device: cuda | Environment device: gpu
initialized agent weights from /home/aojili/lsy_drone_racing/lsy_drone_racing/control/checkpoints/level3_loop_083_structural_v26_v23_10m_success_replay_retention_20m/level3_loop_083_structural_v26_v23_10m_success_replay_retention_20m_step_015000000.ckpt; optimizer starts fresh
Iter 1/1373 took 15.92 seconds
Iter 2/1373 took 3.18 seconds
Iter 3/1373 took 3.10 seconds
Iter 4/1373 took 3.11 seconds
Iter 5/1373 took 3.09 seconds
Iter 6/1373 took 3.03 seconds
Iter 7/1373 took 3.01 seconds
Iter 8/1373 took 3.01 seconds
Iter 9/1373 took 3.03 seconds
Iter 10/1373 took 3.02 seconds
Iter 11/1373 took 3.13 seconds
Iter 12/1373 took 3.06 seconds
Iter 13/1373 took 3.10 seconds
Iter 14/1373 took 3.03 seconds
Iter 15/1373 took 3.16 seconds
Iter 16/1373 took 3.14 seconds
Iter 17/1373 took 3.13 seconds
Iter 18/1373 took 3.11 seconds
Iter 19/1373 took 3.18 seconds
Iter 20/1373 took 3.00 seconds
Iter 21/1373 took 3.00 seconds
Iter 22/1373 took 3.06 seconds
Iter 23/1373 took 2.93 seconds
Iter 24/1373 took 2.93 seconds
Iter 25/1373 took 3.21 seconds
Iter 26/1373 took 3.20 seconds
Iter 27/1373 took 3.13 seconds
Iter 28/1373 took 3.14 seconds
Iter 29/1373 took 3.08 seconds
Iter 30/1373 took 3.03 seconds
Iter 31/1373 took 3.00 seconds
Iter 32/1373 took 2.99 seconds
Iter 33/1373 took 2.99 seconds
Iter 34/1373 took 3.02 seconds
Iter 35/1373 took 3.13 seconds
Iter 36/1373 took 3.07 seconds
Iter 37/1373 took 2.99 seconds
Iter 38/1373 took 3.05 seconds
Iter 39/1373 took 3.08 seconds
Iter 40/1373 took 3.00 seconds
Iter 41/1373 took 3.00 seconds
Iter 42/1373 took 3.08 seconds
Iter 43/1373 took 2.95 seconds
Iter 44/1373 took 2.91 seconds
Iter 45/1373 took 2.97 seconds
Iter 46/1373 took 3.00 seconds
Iter 47/1373 took 2.99 seconds
Iter 48/1373 took 2.94 seconds
Iter 49/1373 took 3.02 seconds
Iter 50/1373 took 3.05 seconds
Iter 51/1373 took 3.08 seconds
